step,revolutions,blade,r_R,r_lu,chord_lu,eps_lu,twist,u_n,u_theta,u_rel,phi,alpha,Re,CL,CD,F_n,F_theta,F_L,F_D
25,0.051725,0,0.6493,83.1128,10.4902,2.6225,11.415,0.000376,-0.000047,0.064980,0.332,11.083,1361858.9,1.36385,0.03742,0.060248,0.002002,0.060258,0.001653
25,0.051725,1,0.6493,83.1128,10.4902,2.6225,11.415,0.000376,-0.000047,0.064980,0.332,11.083,1361860.3,1.36385,0.03742,0.060248,0.002002,0.060258,0.001653
25,0.051725,2,0.6493,83.1128,10.4902,2.6225,11.415,0.000376,-0.000047,0.064980,0.332,11.083,1361858.6,1.36385,0.03742,0.060248,0.002002,0.060258,0.001653
25,0.051725,3,0.6493,83.1128,10.4902,2.6225,11.415,0.000376,-0.000047,0.064980,0.332,11.083,1361860.6,1.36385,0.03742,0.060248,0.002002,0.060258,0.001653
50,0.101461,0,0.6493,83.1128,10.4902,2.6225,11.415,0.000515,-0.000115,0.065049,0.453,10.961,1363306.5,1.35509,0.03652,0.059984,0.002092,0.059999,0.001617
50,0.101461,1,0.6493,83.1128,10.4902,2.6225,11.415,0.000515,-0.000115,0.065049,0.453,10.961,1363306.6,1.35509,0.03652,0.059984,0.002092,0.059999,0.001617
50,0.101461,2,0.6493,83.1128,10.4902,2.6225,11.415,0.000514,-0.000115,0.065049,0.453,10.961,1363306.3,1.35510,0.03652,0.059985,0.002091,0.059999,0.001617
50,0.101461,3,0.6493,83.1128,10.4902,2.6225,11.415,0.000515,-0.000115,0.065049,0.453,10.961,1363307.5,1.35508,0.03652,0.059984,0.002092,0.059998,0.001617
75,0.151197,0,0.6493,83.1128,10.4902,2.6225,11.415,0.000616,-0.000192,0.065127,0.542,10.873,1364937.0,1.34713,0.03603,0.059771,0.002164,0.059789,0.001599
75,0.151197,1,0.6493,83.1128,10.4902,2.6225,11.415,0.000616,-0.000192,0.065127,0.542,10.873,1364938.9,1.34712,0.03603,0.059771,0.002164,0.059789,0.001599
75,0.151197,2,0.6493,83.1128,10.4902,2.6225,11.415,0.000616,-0.000192,0.065127,0.542,10.873,1364937.5,1.34712,0.03603,0.059771,0.002164,0.059789,0.001599
75,0.151197,3,0.6493,83.1128,10.4902,2.6225,11.415,0.000616,-0.000192,0.065127,0.542,10.873,1364939.2,1.34712,0.03603,0.059771,0.002164,0.059789,0.001599
100,0.200933,0,0.6493,83.1128,10.4902,2.6225,11.415,0.000583,-0.000275,0.065209,0.512,10.902,1366663.7,1.34765,0.03658,0.059946,0.002164,0.059963,0.001628
100,0.200933,1,0.6493,83.1128,10.4902,2.6225,11.415,0.000583,-0.000275,0.065209,0.513,10.902,1366666.5,1.34764,0.03658,0.059946,0.002164,0.059963,0.001628
