marker,r_R,r_lu,chord_lu,twist_deg,epsilon_lu,active
0,0.2597,33.2381,10.4902,16.889,2.6226,True
1,0.2753,35.2331,10.4902,16.670,2.6226,True
2,0.2908,37.2281,10.4902,16.451,2.6226,True
3,0.3064,39.2231,10.4902,16.232,2.6226,True
4,0.3220,41.2181,10.4902,16.013,2.6226,True
5,0.3376,43.2131,10.4902,15.794,2.6226,True
6,0.3532,45.2081,10.4902,15.575,2.6226,True
7,0.3688,47.2030,10.4902,15.356,2.6226,True
8,0.3844,49.1980,10.4902,15.137,2.6226,True
9,0.3999,51.1930,10.4902,14.918,2.6226,True
10,0.4155,53.1880,10.4902,14.699,2.6226,True
11,0.4311,55.1830,10.4902,14.480,2.6226,True
12,0.4467,57.1780,10.4902,14.261,2.6226,True
13,0.4623,59.1730,10.4902,14.042,2.6226,True
14,0.4779,61.1679,10.4902,13.823,2.6226,True
15,0.4935,63.1629,10.4902,13.604,2.6226,True
16,0.5090,65.1579,10.4902,13.385,2.6226,True
17,0.5246,67.1529,10.4902,13.166,2.6226,True
18,0.5402,69.1479,10.4902,12.947,2.6226,True
19,0.5558,71.1429,10.4902,12.728,2.6226,True
20,0.5714,73.1379,10.4902,12.509,2.6226,True
21,0.5870,75.1329,10.4902,12.290,2.6226,True
22,0.6026,77.1278,10.4902,12.072,2.6226,True
23,0.6181,79.1228,10.4902,11.853,2.6225,True
24,0.6337,81.1178,10.4902,11.634,2.6225,True
25,0.6493,83.1128,10.4902,11.415,2.6225,True
26,0.6649,85.1078,10.4902,11.196,2.6225,True
27,0.6805,87.1028,10.4903,10.977,2.6226,True
28,0.6961,89.0978,10.4903,10.758,2.6226,True
29,0.7117,91.0927,10.4900,10.539,2.6225,True
30,0.7272,93.0877,10.4897,10.320,2.6224,True
31,0.7428,95.0827,10.4899,10.101,2.6225,True
32,0.7584,97.0777,10.4909,9.882,2.6227,True
33,0.7740,99.0727,10.4921,9.663,2.6230,True
34,0.7896,101.0677,10.4919,9.444,2.6230,True
35,0.8052,103.0627,10.4888,9.225,2.6222,True
36,0.8208,105.0577,10.4880,9.006,2.6220,True
37,0.8363,107.0526,10.4997,8.787,2.6249,True
38,0.8519,109.0476,10.4847,8.568,2.6212,True
39,0.8675,111.0426,10.4163,8.349,2.6041,True
40,0.8831,113.0376,10.3782,8.130,2.5945,True
41,0.8987,115.0326,10.4730,7.911,2.6182,True
42,0.9143,117.0276,10.7449,7.692,2.6862,True
43,0.9299,119.0226,10.9366,7.473,2.7342,True
44,0.9454,121.0175,10.6940,7.254,2.6735,True
45,0.9610,123.0125,9.7165,7.035,2.4291,True
46,0.9766,125.0075,8.2413,6.816,2.0603,True
47,0.9922,127.0025,6.8159,6.597,2.0000,True
