step,time_lt,time_phys,revolutions,thrust_lu,torque_lu,power_lu,rho_ref,area_lu,tip_speed_lu,omega_lu,R_lu,D_lu,n_lu
25,416.000000,0.002481781,0.051725,9.662001057,49.340707098,0.038547427,1.000000,51471.854036,0.100000000,0.000781250,128.000000,256.000000,0.000124340
50,816.000000,0.004868108,0.101461,9.614930376,49.587664136,0.038740363,1.000000,51471.854036,0.100000000,0.000781250,128.000000,256.000000,0.000124340
75,1216.000000,0.007254436,0.151197,9.530557791,49.421636877,0.038610654,1.000000,51471.854036,0.100000000,0.000781250,128.000000,256.000000,0.000124340
100,1616.000000,0.009640764,0.200933,9.743109958,49.944868026,0.039019428,1.000000,51471.854036,0.100000000,0.000781250,128.000000,256.000000,0.000124340
125,2016.000000,0.012027091,0.250669,9.782132812,49.915395848,0.038996403,1.000000,51471.854036,0.100000000,0.000781250,128.000000,256.000000,0.000124340
150,2416.000000,0.014413419,0.300405,9.765064657,51.556155610,0.040278247,1.000000,51471.854036,0.100000000,0.000781250,128.000000,256.000000,0.000124340
175,2816.000000,0.016799747,0.350141,9.742382372,52.955037572,0.041371123,1.000000,51471.854036,0.100000000,0.000781250,128.000000,256.000000,0.000124340
200,3216.000000,0.019186075,0.399877,9.697342901,54.235544806,0.042371519,1.000000,51471.854036,0.100000000,0.000781250,128.000000,256.000000,0.000124340
225,3616.000000,0.021572402,0.449613,9.573241626,55.469489432,0.043335539,1.000000,51471.854036,0.100000000,0.000781250,128.000000,256.000000,0.000124340
250,4016.000000,0.023958730,0.499349,9.490425426,56.078085379,0.043811004,1.000000,51471.854036,0.100000000,0.000781250,128.000000,256.000000,0.000124340
275,4416.000000,0.026345058,0.549085,9.151754555,56.605502962,0.044223049,1.000000,51471.854036,0.100000000,0.000781250,128.000000,256.000000,0.000124340
300,4816.000000,0.028731385,0.598820,8.532946125,54.714494729,0.042745699,1.000000,51471.854036,0.100000000,0.000781250,128.000000,256.000000,0.000124340
325,5216.000000,0.031117713,0.648556,8.780109084,59.727142858,0.046661830,1.000000,51471.854036,0.100000000,0.000781250,128.000000,256.000000,0.000124340
350,5616.000000,0.033504041,0.698292,8.496543748,60.818044438,0.047514097,1.000000,51471.854036,0.100000000,0.000781250,128.000000,256.000000,0.000124340
375,6016.000000,0.035890368,0.748028,8.193246072,61.611997902,0.048134373,1.000000,51471.854036,0.100000000,0.000781250,128.000000,256.000000,0.000124340
400,6416.000000,0.038276696,0.797764,7.762484839,62.603390138,0.048908899,1.000000,51471.854036,0.100000000,0.000781250,128.000000,256.000000,0.000124340
425,6816.000000,0.040663024,0.847500,7.384981758,65.359446281,0.051062067,1.000000,51471.854036,0.100000000,0.000781250,128.000000,256.000000,0.000124340
450,7216.000000,0.043049351,0.897236,6.946654468,64.268800490,0.050210000,1.000000,51471.854036,0.100000000,0.000781250,128.000000,256.000000,0.000124340
475,7616.000000,0.045435679,0.946972,6.785355134,65.803478739,0.051408968,1.000000,51471.854036,0.100000000,0.000781250,128.000000,256.000000,0.000124340
500,8016.000000,0.047822007,0.996708,6.467144925,65.755623099,0.051371581,1.000000,51471.854036,0.100000000,0.000781250,128.000000,256.000000,0.000124340
525,8416.000000,0.050208334,1.046444,5.720824014,60.653592046,0.047385619,1.000000,51471.854036,0.100000000,0.000781250,128.000000,256.000000,0.000124340
